DosageForm,TotalApprovals
TABLET;ORAL,81143
INJECTABLE;INJECTION,65160
CAPSULE;ORAL,23125
"TABLET, EXTENDED RELEASE;ORAL",7778
"CAPSULE, EXTENDED RELEASE;ORAL",4280
CREAM;TOPICAL,2900
SOLUTION;INTRAPERITONEAL,2601
SOLUTION/DROPS;OPHTHALMIC,2527
INJECTABLE;SUBCUTANEOUS,2432
SOLUTION;ORAL,2222
"FOR SUSPENSION;ORAL",2067
"FILM, EXTENDED RELEASE;TRANSDERMAL",1982
SUSPENSION;ORAL,1824
SYRUP;ORAL,1606
TABLET;ORAL-28,1561
"TABLET, CHEWABLE;ORAL",1435
OINTMENT;TOPICAL,1305
"TABLET, DELAYED RELEASE;ORAL",1267
TABLET;ORAL-21,1194
"TABLET, ORALLY DISINTEGRATING;ORAL",1178
SOLUTION;IRRIGATION,1151
SOLUTION;TOPICAL,1020
"CAPSULE, DELAYED REL PELLETS;ORAL",876
"FOR SOLUTION;ORAL",836
"AEROSOL, METERED;INHALATION",805
"INJECTABLE;IV (INFUSION)",756
SOLUTION;INTRAVENOUS,677
OINTMENT;OPHTHALMIC,672
LOTION;TOPICAL,664
CONCENTRATE;ORAL,651
SUSPENSION/DROPS;OPHTHALMIC,614
INJECTABLE;INTRAVENOUS,597
TABLET;SUBLINGUAL,596
SOLUTION;INHALATION,586
"SPRAY, METERED;NASAL",586
VIAL,547
"INJECTABLE; INJECTION",515
GEL;TOPICAL,507
SUPPOSITORY;RECTAL,505
"TABLET; ORAL",475
"CAPSULE, DELAYED RELEASE;ORAL",441
CREAM;VAGINAL,422
INJECTABLE;INTRAMUSCULAR,397
SOLUTION;SUBCUTANEOUS,397
"VIAL; SINGLE-USE",389
"INJECTABLE;INTRAMUSCULAR, INTRAVENOUS",362
POWDER;INHALATION,358
POWDER;ORAL,355
SYRINGE,316
SOLUTION;URETHRAL,312
SPONGE;TOPICAL,285
"GUM, CHEWING;BUCCAL",283
SOLUTION;INJECTION,279
POWDER;INTRAVENOUS,275
"SOLUTION;IV (INFUSION)",275
"VIAL; SUBCUTANEOUS",274
"VIAL; INTRAVENOUS",270
GRANULE;ORAL,251
"Film, Extended Release; Transdermal",235
SOLUTION/DROPS;OTIC,231
ELIXIR;ORAL,226
LIQUID;IRRIGATION,222
"SOLUTION;INJECTION, ORAL",215
"CAPSULE; ORAL",214
LIQUID;N/A,208
"SOLUTION;INJECTION, ORAL, RECTAL",200
"POWDER;IV (INFUSION)",194
LIQUID;INHALATION,187
"INJECTABLE;INTRAMUSCULAR, SUBCUTANEOUS",167
"SOLUTION;INHALATION, ORAL",162
"FOR SOLUTION;OPHTHALMIC",152
SWAB;TOPICAL,152
IMPLANT;IMPLANTATION,148
"FOR SUSPENSION, DELAYED RELEASE;ORAL",147
SOLUTION;URETERAL,147
GAS;INHALATION,146
TROCHE/LOZENGE;TRANSMUCOSAL,144
INJECTABLE;INTRATHECAL,143
"SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR",140
"TABLET, FOR SUSPENSION;ORAL",137
"INJECTABLE, LIPOSOMAL;INJECTION",136
GEL;TRANSDERMAL,128
SHAMPOO;TOPICAL,124
"SOLUTION;ORAL, RECTAL",120
SUPPOSITORY;VAGINAL,120
SUSPENSION/DROPS;OTIC,119
"INJECTABLE;INTRAVENOUS, SUBCUTANEOUS",116
TROCHE/LOZENGE;ORAL,108
"TABLET;BUCCAL, SUBLINGUAL",100
PASTE;DENTAL,98
TABLET;ORAL-20,97
"AEROSOL, METERED;NASAL",95
SUSPENSION;OPHTHALMIC,91
TABLET;VAGINAL,88
SPRAY;SUBLINGUAL,84
"SOLUTION;INTRAMUSCULAR, INTRAVENOUS",79
"INJECTABLE;IV (INFUSION), SUBCUTANEOUS",78
"GEL, METERED;TRANSDERMAL",77
"INTRAUTERINE DEVICE;INTRAUTERINE",77
FILM;BUCCAL,74
"Injectable; Subcutaneous",74
SUSPENSION;INHALATION,73
"INJECTABLE; IV (INFUSION)",71
"SOLUTION;IRRIGATION, URETHRAL",70
"AEROSOL, FOAM;TOPICAL",69
SPRAY;NASAL,69
"SOLUTION, GEL FORMING/DROPS;OPHTHALMIC",68
"POWDER, METERED;INHALATION",66
SOLUTION;NASAL,66
SUSPENSION;INTRATRACHEAL,66
ENEMA;RECTAL,65
"AEROSOL, METERED;TOPICAL",64
"FILM;BUCCAL, SUBLINGUAL",64
GEL;RECTAL,63
INJECTABLE;SPINAL,63
"SOLUTION/DROPS;OPHTHALMIC, OTIC",62
"SUSPENSION, EXTENDED RELEASE;ORAL",62
JELLY;TOPICAL,61
"CREAM, SUPPOSITORY;TOPICAL, VAGINAL",60
"CREAM;TOPICAL, VAGINAL",60
"VIAL; MULTIDOSE",60
"FOR SOLUTION;INHALATION",59
PATCH;TOPICAL,59
"FOR SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR",57
LOTION/SHAMPOO;TOPICAL,56
POWDER;INTRAMUSCULAR,54
SOLUTION;DENTAL,52
"Tablet, Extended Release; Oral",51
"POWDER;FOR RX COMPOUNDING",50
POWDER;SUBCUTANEOUS,50
"SOLUTION;INTRAVENOUS, ORAL",50
OIL;TOPICAL,49
SPRAY;TOPICAL,49
SUSPENSION/DROPS;ORAL,49
SUPPOSITORY;URETHRAL,48
"TABLET, COATED PARTICLES;ORAL",48
"INSERT, EXTENDED RELEASE;OPHTHALMIC",47
"TABLET, EFFERVESCENT;ORAL",47
SOLUTION;INTRAVESICAL,46
GEL;VAGINAL,44
"INSERT, EXTENDED RELEASE;VAGINAL",44
"FOR SOLUTION;TOPICAL",42
SUSPENSION;TOPICAL,42
"FOR SUSPENSION, EXTENDED RELEASE;SUBCUTANEOUS",40
"TABLET, DELAYED RELEASE, ORALLY DISINTEGRATING;ORAL",40
"POWDER;ORAL, RECTAL",39
"SUSPENSION;ORAL, RECTAL",39
"FOR SOLUTION;SUBCUTANEOUS",38
"OINTMENT, AUGMENTED;TOPICAL",38
"CREAM, AUGMENTED;TOPICAL",36
N/A;N/A,34
"SOLUTION;PERFUSION, CARDIAC",30
"AEROSOL, METERED;RECTAL",28
"EMULSION;IV (INFUSION)",28
"FOR SOLUTION;INTRAVENOUS",28
"FOR SOLUTION;IV (INFUSION)",27
SOLUTION;IM-IV,26
SOLUTION;OPHTHALMIC,26
SPONGE;VAGINAL,26
"INJECTABLE;INTRAMUSCULAR, IV (INFUSION)",25
"Solution; Intravesical, Ureteral",25
SOLUTION;INTRAOCULAR,25
SOLUTION;INTRAUTERINE,24
"SPRAY, METERED;INHALATION",24
"TABLET, TABLET;ORAL",24
"FOR SUSPENSION, EXTENDED RELEASE;ORAL",23
OIL/DROPS;OTIC,23
POWDER;TOPICAL,23
"CAPSULE, CAPSULE, DELAYED REL PELLETS, TABLET;ORAL",21
"GRANULE, EFFERVESCENT;ORAL",21
IMPLANT;INTRACRANIAL,21
"INJECTABLE, LIPOSOMAL;EPIDURAL",21
"FOR SOLUTION;ORAL, RECTAL",20
GEL;OPHTHALMIC,20
EMULSION;OPHTHALMIC,19
"FOR SUSPENSION;IV (INFUSION)",19
"SPRAY, METERED;SUBLINGUAL",19
AEROSOL;SUBLINGUAL,18
"CAPSULE, DELAYED REL PELLETS, TABLET;ORAL",18
IMPLANT;INTRAVITREAL,18
IMPLANT;SUBCUTANEOUS,17
"LOTION, AUGMENTED;TOPICAL",17
OINTMENT;TRANSDERMAL,17
RING;VAGINAL,17
AEROSOL;VAGINAL,16
EMULSION;TOPICAL,16
"FOR SUSPENSION;OPHTHALMIC",16
"SOLUTION;INTRAVENOUS, SUBCUTANEOUS",16
"SYRUP; ORAL",16
CAPSULE;INHALATION,15
EMULSION;INTRAVENOUS,15
"FOR SOLUTION, TABLET, DELAYED RELEASE;ORAL",15
"GEL, AUGMENTED;TOPICAL",15
"INJECTABLE;SOLUTION;INJECTION;IV (INFUSION)",15
INSERT;OPHTHALMIC,15
"TABLET, CHEWABLE, TABLET, CAPSULE;ORAL",15
"CREAM, TABLET;TOPICAL, VAGINAL",14
"INJECTABLE, LIPID COMPLEX;INJECTION",14
"SOLUTION; INJECTION",14
CLOTH;TOPICAL,13
INHALANT;ORAL,13
"INSERT, EXTENDED RELEASE;INTRAUTERINE",13
"SOLUTION; ORAL",13
"Solution; Topical",13
AEROSOL;TOPICAL,12
LIQUID;ORAL,12
SOLUTION;INTRAMUSCULAR,12
"SYSTEM, EXTENDED RELEASE;PERIODONTAL",12
TABLET;DENTAL,12
"CAPSULE, DELAYED REL PELLETS; ORAL",11
OINTMENT;NASAL,11
OINTMENT;VAGINAL,11
SOLUTION/DROPS;TOPICAL,11
TAPE;TOPICAL,11
AEROSOL;NASAL,10
GEL;DENTAL,10
"SOLUTION FOR SLUSH;IRRIGATION",10
"SOLUTION, SOLUTION;INTRAVENOUS, INTRAVENOUS",10
"CREAM; TOPICAL",9
FILM;ORAL,9
"Gel; Vaginal",9
"GRANULE, DELAYED RELEASE;ORAL",9
INSERT;VAGINAL,9
PELLET;IMPLANTATION,9
"POWDER, EXTENDED RELEASE;DENTAL",9
"CAPSULE, EXTENDED RELEASE; ORAL",8
EMULSION;ORAL,8
"GEL, METERED;NASAL",8
GEL;ENDOCERVICAL,8
"INJECTABLE, LIPOSOMAL;INTRAVENOUS",8
"INJECTABLE, TABLET;INTRAMUSCULAR, ORAL",8
INJECTABLE;INTRAVITREAL,8
"LIQUID;PERFUSION, BILIARY",8
"OIL;INTRALYMPHATIC, INTRAUTERINE",8
"SOLUTION, ELIXIR;ORAL",8
"SOLUTION, METERED;TRANSDERMAL",8
"SOLUTION;INHALATION, INTRAVENOUS",8
"SYSTEM; TRANSDERMAL",7
SYSTEM;IONTOPHORESIS,7
"FILM, EXTENDED RELEASE;BUCCAL",6
"FOR SOLUTION, TABLET, FOR SOLUTION;ORAL",6
