DosageForm,Drugname,TotalApprovals
TABLET;ORAL,IBUPROFEN,91
TABLET;ORAL,"HYDROCODONE BITARTRATE AND ACETAMINOPHEN",78
TABLET;ORAL,"ACETAMINOPHEN AND CODEINE PHOSPHATE",48
TABLET;ORAL,PREDNISONE,47
TABLET;ORAL,"AMITRIPTYLINE HYDROCHLORIDE",44
CAPSULE;ORAL,"PHENTERMINE HYDROCHLORIDE",44
TABLET;ORAL,HYDROCHLOROTHIAZIDE,43
TABLET;ORAL,"HYDROXYZINE HYDROCHLORIDE",43
TABLET;ORAL,"BETHANECHOL CHLORIDE",39
TABLET;ORAL,"HYDRALAZINE HYDROCHLORIDE",38
TABLET;ORAL,"PROPRANOLOL HYDROCHLORIDE",38
TABLET;ORAL,"THIORIDAZINE HYDROCHLORIDE",38
INJECTABLE;INTRAVENOUS,"FLUDEOXYGLUCOSE F18",37
"TABLET, EXTENDED RELEASE;ORAL","METFORMIN HYDROCHLORIDE",36
TABLET;ORAL,"AMLODIPINE BESYLATE",36
TABLET;ORAL,"DONEPEZIL HYDROCHLORIDE",35
TABLET;ORAL,"RANITIDINE HYDROCHLORIDE",35
CAPSULE;ORAL,"CHLORDIAZEPOXIDE HYDROCHLORIDE",33
"TABLET, EXTENDED RELEASE;ORAL","BUPROPION HYDROCHLORIDE",31
TABLET;ORAL,ATENOLOL,31
TABLET;ORAL,DEXAMETHASONE,31
TABLET;ORAL,FAMOTIDINE,31
TABLET;ORAL,LEVETIRACETAM,31
TABLET;ORAL,"METFORMIN HYDROCHLORIDE",31
TABLET;ORAL,LORAZEPAM,30
INJECTABLE;INJECTION,"GRANISETRON HYDROCHLORIDE",29
"GUM, CHEWING;BUCCAL","NICOTINE POLACRILEX",28
INJECTABLE;INJECTION,"CEFAZOLIN SODIUM",28
INJECTABLE;INJECTION,"VANCOMYCIN HYDROCHLORIDE",28
TABLET;ORAL,METHOCARBAMOL,28
TABLET;ORAL,CIMETIDINE,27
TABLET;ORAL,"FOLIC ACID",27
TABLET;ORAL,"IMIPRAMINE HYDROCHLORIDE",27
TABLET;ORAL,"NAPROXEN SODIUM",27
TABLET;ORAL,"OXYCODONE AND ACETAMINOPHEN",27
INJECTABLE;INJECTION,"AMPICILLIN SODIUM",27
INJECTABLE;INJECTION,"ONDANSETRON HYDROCHLORIDE",26
TABLET;ORAL,"CITALOPRAM HYDROBROMIDE",26
TABLET;ORAL,"SERTRALINE HYDROCHLORIDE",26
TABLET;ORAL,BACLOFEN,25
TABLET;ORAL,"PROMETHAZINE HYDROCHLORIDE",25
CAPSULE;ORAL,"DOXEPIN HYDROCHLORIDE",25
INJECTABLE;INJECTION,"HEPARIN SODIUM",25
INJECTABLE;INTRAVENOUS,"AMMONIA N 13",25
CAPSULE;ORAL,"FLUOXETINE HYDROCHLORIDE",24
INJECTABLE;INJECTION,"KETOROLAC TROMETHAMINE",24
TABLET;ORAL,CHLORTHALIDONE,24
TABLET;ORAL,DIAZEPAM,23
TABLET;ORAL,FUROSEMIDE,23
TABLET;ORAL,HALOPERIDOL,23
TABLET;ORAL,LAMOTRIGINE,23
TABLET;ORAL,"PHENTERMINE HYDROCHLORIDE",23
CAPSULE;ORAL,INDOMETHACIN,23
INJECTABLE;INJECTION,"AMPICILLIN AND SULBACTAM",23
INJECTABLE;INTRAVENOUS,"SODIUM FLUORIDE F-18",23
"INJECTABLE;IV (INFUSION)","ZOLEDRONIC ACID",23
"INJECTABLE;IV (INFUSION)",CARBOPLATIN,22
TABLET;ORAL,CAPTOPRIL,22
TABLET;ORAL,"CLONIDINE HYDROCHLORIDE",22
TABLET;ORAL,MELOXICAM,22
TABLET;ORAL,TOPIRAMATE,22
TABLET;ORAL,"VERAPAMIL HYDROCHLORIDE",22
TABLET;ORAL,AZITHROMYCIN,21
TABLET;ORAL,"BENZTROPINE MESYLATE",21
TABLET;ORAL,MEPROBAMATE,21
TABLET;ORAL,METRONIDAZOLE,21
TABLET;ORAL,NAPROXEN,21
TABLET;ORAL,RISPERIDONE,21
TABLET;ORAL,"TRAMADOL HYDROCHLORIDE",21
TABLET;ORAL,"ZOLPIDEM TARTRATE",21
INJECTABLE;INJECTION,"IRINOTECAN HYDROCHLORIDE",21
INJECTABLE;INJECTION,"MIDAZOLAM HYDROCHLORIDE",21
CAPSULE;ORAL,CEPHALEXIN,20
CAPSULE;ORAL,"DIPHENHYDRAMINE HYDROCHLORIDE",20
INJECTABLE;INJECTION,"GEMCITABINE HYDROCHLORIDE",20
"TABLET, EXTENDED RELEASE;ORAL",LEVETIRACETAM,20
TABLET;ORAL,"CETIRIZINE HYDROCHLORIDE ALLERGY",20
TABLET;ORAL,"LOSARTAN POTASSIUM",20
TABLET;ORAL,"MECLIZINE HYDROCHLORIDE",20
TABLET;ORAL,"PROPOXYPHENE NAPSYLATE AND ACETAMINOPHEN",20
SOLUTION;INHALATION,"ALBUTEROL SULFATE",19
TABLET;ORAL,CARISOPRODOL,19
TABLET;ORAL,"CLOPIDOGREL BISULFATE",19
TABLET;ORAL,FINASTERIDE,19
TABLET;ORAL,IRBESARTAN,19
TABLET;ORAL,METHYLDOPA,19
TABLET;ORAL,"MONTELUKAST SODIUM",19
TABLET;ORAL,"TRAZODONE HYDROCHLORIDE",19
INJECTABLE;INJECTION,"LIDOCAINE HYDROCHLORIDE",19
INJECTABLE;INJECTION,"ONDANSETRON HYDROCHLORIDE PRESERVATIVE FREE",19
INJECTABLE;INJECTION,"TOBRAMYCIN SULFATE",19
CAPSULE;ORAL,GABAPENTIN,18
"FOR SUSPENSION;ORAL",CEFACLOR,18
SOLUTION/DROPS;OPHTHALMIC,"TIMOLOL MALEATE",18
TABLET;ORAL,"ALBUTEROL SULFATE",18
TABLET;ORAL,ALLOPURINOL,18
TABLET;ORAL,"BUSPIRONE HYDROCHLORIDE",18
TABLET;ORAL,"CIPROFLOXACIN HYDROCHLORIDE",18
TABLET;ORAL,GABAPENTIN,18
TABLET;ORAL,LETROZOLE,18
TABLET;ORAL,LEVOFLOXACIN,18
TABLET;ORAL,LISINOPRIL,18
TABLET;ORAL,"METOPROLOL TARTRATE",18
TABLET;ORAL,"PRAMIPEXOLE DIHYDROCHLORIDE",18
TABLET;ORAL,"QUETIAPINE FUMARATE",18
TABLET;ORAL,"QUINIDINE SULFATE",18
"TABLET, DELAYED RELEASE;ORAL","DIVALPROEX SODIUM",17
"TABLET, DELAYED RELEASE;ORAL","PANTOPRAZOLE SODIUM",17
TABLET;ORAL,ANASTROZOLE,17
TABLET;ORAL,CARVEDILOL,17
TABLET;ORAL,"CYCLOBENZAPRINE HYDROCHLORIDE",17
TABLET;ORAL,GLIMEPIRIDE,17
TABLET;ORAL,ISONIAZID,17
TABLET;ORAL,"ISOSORBIDE DINITRATE",17
TABLET;ORAL,"MEMANTINE HYDROCHLORIDE",17
TABLET;ORAL,"METHYLDOPA AND HYDROCHLOROTHIAZIDE",17
CAPSULE;ORAL,ZONISAMIDE,17
INJECTABLE;INJECTION,"AMIODARONE HYDROCHLORIDE",17
INJECTABLE;INJECTION,"NALOXONE HYDROCHLORIDE",17
"INJECTABLE;IV (INFUSION)",OXALIPLATIN,17
INJECTABLE;SUBCUTANEOUS,"SUMATRIPTAN SUCCINATE",17
CAPSULE;ORAL,ACYCLOVIR,16
CAPSULE;ORAL,PIROXICAM,16
GAS;INHALATION,"MEDICAL AIR, USP",16
INJECTABLE;INJECTION,"DOXORUBICIN HYDROCHLORIDE",16
INJECTABLE;INJECTION,FLUOROURACIL,16
INJECTABLE;INJECTION,"SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",16
SOLUTION;ORAL,LEVETIRACETAM,16
SOLUTION;ORAL,"PREDNISOLONE SODIUM PHOSPHATE",16
SYRUP;ORAL,"RANITIDINE HYDROCHLORIDE",16
"TABLET, CHEWABLE;ORAL","MONTELUKAST SODIUM",16
"TABLET, EXTENDED RELEASE;ORAL","MORPHINE SULFATE",16
TABLET;ORAL,ALPRAZOLAM,16
TABLET;ORAL,CHLORZOXAZONE,16
TABLET;ORAL,CILOSTAZOL,16
TABLET;ORAL,"ENALAPRIL MALEATE",16
TABLET;ORAL,ETODOLAC,16
TABLET;ORAL,FLUCONAZOLE,16
TABLET;ORAL,"PHENDIMETRAZINE TARTRATE",16
TABLET;ORAL,ACYCLOVIR,15
TABLET;ORAL,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",15
TABLET;ORAL,DIPYRIDAMOLE,15
TABLET;ORAL,"METOCLOPRAMIDE HYDROCHLORIDE",15
TABLET;ORAL,OLANZAPINE,15
TABLET;ORAL,"PRAVASTATIN SODIUM",15
TABLET;ORAL,"SULFAMETHOXAZOLE AND TRIMETHOPRIM",15
TABLET;ORAL,"TERBINAFINE HYDROCHLORIDE",15
"CAPSULE, DELAYED REL PELLETS;ORAL","DULOXETINE HYDROCHLORIDE",15
"CAPSULE, DELAYED REL PELLETS;ORAL",LANSOPRAZOLE,15
CAPSULE;ORAL,"PROPOXYPHENE HYDROCHLORIDE",15
CREAM;TOPICAL,"TRIAMCINOLONE ACETONIDE",15
"FOR SUSPENSION;ORAL",CEPHALEXIN,15
GAS;INHALATION,"OXYGEN, USP",15
INJECTABLE;INJECTION,"AMIKACIN SULFATE",15
INJECTABLE;INJECTION,CEFTRIAXONE,15
INJECTABLE;INJECTION,"CLINDAMYCIN PHOSPHATE",15
INJECTABLE;INJECTION,FUROSEMIDE,15
"CAPSULE, EXTENDED RELEASE;ORAL","DILTIAZEM HYDROCHLORIDE",14
CAPSULE;ORAL,"PROCAINAMIDE HYDROCHLORIDE",14
CAPSULE;ORAL,RAMIPRIL,14
CAPSULE;ORAL,TEMAZEPAM,14
CREAM;TOPICAL,HYDROCORTISONE,14
"FOR SUSPENSION;ORAL",AMOXICILLIN,14
INJECTABLE;INJECTION,A-METHAPRED,14
INJECTABLE;INJECTION,DIAZEPAM,14
INJECTABLE;INJECTION,"METHOTREXATE SODIUM PRESERVATIVE FREE",14
INJECTABLE;INJECTION,"MORPHINE SULFATE",14
INJECTABLE;INJECTION,"PAMIDRONATE DISODIUM",14
"INJECTABLE;INTRAMUSCULAR, INTRAVENOUS",CEFTRIAXONE,14
OINTMENT;TOPICAL,"TRIAMCINOLONE ACETONIDE",14
SOLUTION;ORAL,"HYDROCODONE BITARTRATE AND ACETAMINOPHEN",14
SYRUP;ORAL,"CETIRIZINE HYDROCHLORIDE",14
"TABLET, EXTENDED RELEASE;ORAL",ALPRAZOLAM,14
"TABLET, EXTENDED RELEASE;ORAL",THEOPHYLLINE,14
TABLET;ORAL,"ALENDRONATE SODIUM",14
TABLET;ORAL,"AMOXICILLIN AND CLAVULANATE POTASSIUM",14
TABLET;ORAL,"CHLORPROMAZINE HYDROCHLORIDE",14
TABLET;ORAL,"DESIPRAMINE HYDROCHLORIDE",14
TABLET;ORAL,"DOXAZOSIN MESYLATE",14
TABLET;ORAL,"ESCITALOPRAM OXALATE",14
TABLET;ORAL,GEMFIBROZIL,14
TABLET;ORAL,GLYCOPYRROLATE,14
TABLET;ORAL,"LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE",14
TABLET;ORAL,MIRTAZAPINE,14
TABLET;ORAL,"ONDANSETRON HYDROCHLORIDE",14
TABLET;ORAL,"OXYCODONE HYDROCHLORIDE",14
TABLET;ORAL,"PERPHENAZINE AND AMITRIPTYLINE HYDROCHLORIDE",14
TABLET;ORAL,"RIZATRIPTAN BENZOATE",14
TABLET;ORAL,"SOTALOL HYDROCHLORIDE",14
TABLET;ORAL,SPIRONOLACTONE,14
TABLET;ORAL,"SUMATRIPTAN SUCCINATE",14
TABLET;ORAL,TOLAZAMIDE,14
TABLET;ORAL,"VALACYCLOVIR HYDROCHLORIDE",14
TABLET;ORAL-28,"NORGESTIMATE AND ETHINYL ESTRADIOL",14
"TABLET, DELAYED RELEASE;ORAL","DICLOFENAC SODIUM",13
"TABLET, EXTENDED RELEASE;ORAL","LITHIUM CARBONATE",13
"TABLET, EXTENDED RELEASE;ORAL",NIFEDIPINE,13
TABLET;ORAL,BICALUTAMIDE,13
TABLET;ORAL,"DEXTROAMPHETAMINE SULFATE",13
TABLET;ORAL,"DOXYCYCLINE HYCLATE",13
